order_id,order_date,product_name,category,price,quantity,total_sales,customer_city,payment_method
TRX0052,2024-02-23,Celana Kargo,Fashion,167721,5,838605,Pontianak,COD
TRX0053,2024-01-14,Lip Tint,Beauty,276131,3,828393,Jakarta,Gopay
TRX0054,2024-02-03,Serum Vitamin C,Beauty,21858,3,65574,Pontianak,COD
TRX0055,2024-05-23,Basreng,Food,389972,4,1559888,Jakarta,ShopeePay
TRX0056,2024-04-04,Keyboard Mechanical,Electronics,306046,1,306046,Medan,Dana
TRX0057,2024-03-19,Jaket Denim,Fashion,86818,1,86818,Pontianak,ShopeePay
TRX0058,2024-06-19,Facial Wash,Beauty,377599,2,755198,Jakarta,TF Bank
TRX0059,2024-03-01,Basreng,Food,412942,2,825884,Bandung,COD
TRX0060,2024-04-15,Kopi Susu,Food,114036,3,342108,Bandung,TF Bank
TRX0061,2024-04-30,Hoodie Oversize,Fashion,220562,1,220562,Bandung,COD
TRX0062,2024-02-27,Coklat Batangan,Food,180007,2,360014,Jakarta,COD
TRX0063,2024-03-12,Coklat Batangan,Food,166068,1,166068,Pontianak,Dana
TRX0064,2024-01-30,Basreng,Food,193617,1,193617,Pontianak,COD
TRX0065,2024-04-21,Serum Vitamin C,Beauty,76834,5,384170,Pontianak,TF Bank
TRX0066,2024-04-08,Basreng,Food,288132,1,288132,Medan,COD
TRX0067,2024-01-01,Serum Vitamin C,Beauty,391607,4,1566428,Medan,Dana
TRX0068,2024-06-19,Celana Kargo,Fashion,246124,1,246124,Pontianak,Dana
TRX0069,2024-05-09,Serum Vitamin C,Beauty,397358,3,1192074,Pontianak,Gopay
TRX0070,2024-05-21,Sunscreen,Beauty,385538,3,1156614,Bandung,COD
TRX0071,2024-06-06,Keripik Pedas,Food,375109,2,750218,Medan,TF Bank
TRX0072,2024-03-18,Basreng,Food,457112,1,457112,Pontianak,COD
TRX0073,2024-04-29,Basreng,Food,338065,3,1014195,Makassar,Gopay
TRX0074,2024-06-17,Topi Bucket,Fashion,268085,2,536170,Jakarta,TF Bank
TRX0075,2024-06-21,Serum Vitamin C,Beauty,449089,2,898178,Pontianak,COD
TRX0076,2024-03-03,Kaos Unisex,Fashion,32805,1,32805,Makassar,Dana
TRX0077,2024-02-19,Powerbank 10000mAH,Electronics,237286,5,1186430,Makassar,Gopay
TRX0078,2024-01-28,Mie Instan Premium,Food,97369,1,97369,Makassar,COD
TRX0079,2024-05-22,Topi Bucket,Fashion,263557,1,263557,Bandung,ShopeePay
TRX0080,2024-06-19,Mie Instan Premium,Food,440173,4,1760692,Medan,Dana
TRX0081,2024-04-19,Sunscreen,Beauty,341206,5,1706030,Medan,Gopay
TRX0082,2024-03-04,Jaket Denim,Fashion,255966,3,767898,Pontianak,Dana
TRX0083,2024-01-20,Mie Instan Premium,Food,163968,4,655872,Pontianak,COD
TRX0084,2024-01-21,Moisturizer Gel,Beauty,187619,5,938095,Bandung,COD
TRX0085,2024-06-29,Jaket Denim,Fashion,383829,2,767658,Bandung,ShopeePay
TRX0086,2024-04-29,Keripik Pedas,Food,193477,5,967385,Makassar,ShopeePay
TRX0087,2024-06-27,Jaket Denim,Fashion,224198,5,1120990,Jakarta,Dana
TRX0088,2024-03-17,Keripik Pedas,Food,23091,3,69273,Makassar,Gopay
TRX0089,2024-04-21,Jaket Denim,Fashion,135040,3,405120,Makassar,ShopeePay
TRX0090,2024-02-12,Coklat Batangan,Food,370682,4,1482728,Makassar,COD
TRX0091,2024-06-18,Powerbank 10000mAH,Electronics,330322,5,1651610,Jakarta,ShopeePay
TRX0092,2024-02-16,Mie Instan Premium,Food,474479,4,1897916,Jakarta,TF Bank
TRX0093,2024-03-24,Coklat Batangan,Food,130970,4,523880,Pontianak,Gopay
TRX0094,2024-04-30,Sunscreen,Beauty,152262,1,152262,Jakarta,Dana
TRX0095,2024-06-15,Earphone Bass,Electronics,137556,1,137556,Jakarta,ShopeePay
TRX0096,2024-06-08,Kaos Unisex,Fashion,459997,1,459997,Bandung,COD
TRX0097,2024-05-24,Jaket Denim,Fashion,370989,1,370989,Bandung,Gopay
TRX0098,2024-06-04,Moisturizer Gel,Beauty,107969,5,539845,Jakarta,COD
TRX0099,2024-03-20,Serum Vitamin C,Beauty,323397,1,323397,Medan,Gopay
TRX0100,2024-06-25,Mie Instan Premium,Food,59844,5,299220,Bandung,ShopeePay
TRX0101,2024-05-24,Lip Tint,Beauty,442328,1,442328,Jakarta,TF Bank
TRX0102,2024-06-14,Coklat Batangan,Food,56153,5,280765,Pontianak,ShopeePay
TRX0103,2024-04-02,Keripik Pedas,Food,75332,4,301328,Makassar,COD
TRX0104,2024-06-15,Mie Instan Premium,Food,404720,5,2023600,Pontianak,Dana
TRX0105,2024-03-09,Keripik Pedas,Food,248366,5,1241830,Pontianak,COD
TRX0106,2024-03-03,Earphone Bass,Electronics,482228,4,1928912,Makassar,Dana
TRX0107,2024-03-24,Coklat Batangan,Food,35047,4,140188,Bandung,Gopay
TRX0108,2024-03-28,Celana Kargo,Fashion,438293,3,1314879,Pontianak,Dana
TRX0109,2024-02-18,Lip Tint,Beauty,25322,5,126610,Jakarta,COD
TRX0110,2024-06-25,Keripik Pedas,Food,311072,2,622144,Makassar,Gopay
TRX0111,2024-02-26,Kopi Susu,Food,68786,3,206358,Makassar,COD
TRX0112,2024-05-21,Lip Tint,Beauty,213472,4,853888,Medan,TF Bank
TRX0113,2024-06-28,Basreng,Food,193429,3,580287,Makassar,TF Bank
TRX0114,2024-02-19,Moisturizer Gel,Beauty,140868,1,140868,Pontianak,ShopeePay
TRX0115,2024-03-11,Kaos Unisex,Fashion,133447,4,533788,Medan,Dana
TRX0116,2024-03-16,Serum Vitamin C,Beauty,456537,2,913074,Bandung,TF Bank
TRX0117,2024-02-02,Celana Kargo,Fashion,27417,5,137085,Pontianak,ShopeePay
TRX0118,2024-06-12,USB Hub,Electronics,173163,2,346326,Makassar,ShopeePay
TRX0119,2024-05-02,USB Hub,Electronics,169075,4,676300,Makassar,TF Bank
TRX0120,2024-01-30,Hoodie Oversize,Fashion,152371,4,609484,Jakarta,Gopay
TRX0121,2024-02-08,Kopi Susu,Food,322525,1,322525,Bandung,Dana
TRX0122,2024-05-22,Serum Vitamin C,Beauty,150123,1,150123,Makassar,Dana
TRX0123,2024-04-23,Topi Bucket,Fashion,219427,4,877708,Pontianak,Dana
TRX0124,2024-01-16,Coklat Batangan,Food,318125,5,1590625,Medan,ShopeePay
TRX0125,2024-02-10,Kaos Unisex,Fashion,158750,1,158750,Bandung,COD
TRX0126,2024-04-25,Keyboard Mechanical,Electronics,21402,4,85608,Medan,Gopay
TRX0127,2024-06-29,Serum Vitamin C,Beauty,141360,3,424080,Pontianak,Gopay
TRX0128,2024-06-18,Keyboard Mechanical,Electronics,158702,5,793510,Bandung,Gopay
TRX0129,2024-03-09,USB Hub,Electronics,137864,2,275728,Bandung,ShopeePay
TRX0130,2024-06-01,Keyboard Mechanical,Electronics,435565,3,1306695,Medan,TF Bank
TRX0131,2024-06-28,Kopi Susu,Food,265732,3,797196,Makassar,TF Bank
TRX0132,2024-01-11,Keripik Pedas,Food,62174,5,310870,Makassar,TF Bank
TRX0133,2024-06-21,Serum Vitamin C,Beauty,67881,2,135762,Medan,Dana
TRX0134,2024-02-14,Earphone Bass,Electronics,322119,1,322119,Makassar,Dana
TRX0135,2024-04-21,Coklat Batangan,Food,115152,5,575760,Makassar,ShopeePay
TRX0136,2024-03-23,Coklat Batangan,Food,234092,3,702276,Jakarta,COD
TRX0137,2024-03-14,Sunscreen,Beauty,383684,4,1534736,Makassar,Dana
TRX0138,2024-03-05,Powerbank 10000mAH,Electronics,66168,3,198504,Pontianak,ShopeePay
TRX0139,2024-06-17,Basreng,Food,452499,1,452499,Medan,Gopay
TRX0140,2024-04-02,Kopi Susu,Food,118347,5,591735,Medan,Gopay
TRX0141,2024-05-20,Kopi Susu,Food,126723,3,380169,Bandung,TF Bank
TRX0142,2024-06-10,Keripik Pedas,Food,83662,1,83662,Medan,COD
TRX0143,2024-05-21,Celana Kargo,Fashion,308798,1,308798,Makassar,ShopeePay
TRX0144,2024-06-14,Hoodie Oversize,Fashion,261931,1,261931,Bandung,Gopay
TRX0145,2024-04-16,Lip Tint,Beauty,389838,3,1169514,Makassar,Gopay
TRX0146,2024-04-08,Jaket Denim,Fashion,309021,2,618042,Bandung,Dana
TRX0147,2024-03-28,Hoodie Oversize,Fashion,164833,4,659332,Medan,TF Bank
TRX0148,2024-05-30,Earphone Bass,Electronics,400659,3,1201977,Medan,Gopay
TRX0149,2024-03-29,Jaket Denim,Fashion,302371,4,1209484,Pontianak,Dana
TRX0150,2024-06-27,Keripik Pedas,Food,188704,2,377408,Bandung,Dana
TRX0151,2024-01-12,Mie Instan Premium,Food,468797,4,1875188,Pontianak,Gopay
TRX0152,2024-05-06,Keripik Pedas,Food,367964,2,735928,Jakarta,COD
TRX0153,2024-01-26,Serum Vitamin C,Beauty,478327,4,1913308,Medan,Gopay
TRX0154,2024-01-20,Keyboard Mechanical,Electronics,234946,2,469892,Makassar,TF Bank
TRX0155,2024-06-15,Lip Tint,Beauty,383176,4,1532704,Jakarta,TF Bank
TRX0156,2024-05-18,Coklat Batangan,Food,348623,4,1394492,Jakarta,Dana
TRX0157,2024-02-28,Keyboard Mechanical,Electronics,350910,3,1052730,Jakarta,Gopay
TRX0158,2024-06-26,House Wireless,Electronics,252615,2,505230,Pontianak,ShopeePay
TRX0159,2024-03-16,Earphone Bass,Electronics,437408,1,437408,Pontianak,TF Bank
TRX0160,2024-04-15,Mie Instan Premium,Food,148029,5,740145,Medan,COD
TRX0161,2024-04-07,Kaos Unisex,Fashion,61402,5,307010,Medan,COD
TRX0162,2024-04-28,Basreng,Food,95034,2,190068,Pontianak,Gopay
TRX0163,2024-03-14,Serum Vitamin C,Beauty,491286,4,1965144,Medan,COD
TRX0164,2024-03-17,Powerbank 10000mAH,Electronics,201175,5,1005875,Makassar,TF Bank
TRX0165,2024-05-03,Coklat Batangan,Food,124447,4,497788,Jakarta,COD
TRX0166,2024-03-16,Basreng,Food,208197,5,1040985,Pontianak,ShopeePay
TRX0167,2024-06-24,Coklat Batangan,Food,24245,5,121225,Jakarta,Dana
TRX0168,2024-06-04,Coklat Batangan,Food,426711,2,853422,Pontianak,COD
TRX0169,2024-06-09,Topi Bucket,Fashion,151400,2,302800,Jakarta,ShopeePay
TRX0170,2024-04-03,Sunscreen,Beauty,37492,5,187460,Bandung,ShopeePay
TRX0171,2024-02-14,Moisturizer Gel,Beauty,411895,4,1647580,Bandung,COD
TRX0172,2024-02-12,Lip Tint,Beauty,283084,3,849252,Pontianak,Gopay
TRX0173,2024-04-29,Moisturizer Gel,Beauty,441649,1,441649,Jakarta,COD
TRX0174,2024-04-03,Jaket Denim,Fashion,463413,5,2317065,Jakarta,Gopay
TRX0175,2024-04-26,Earphone Bass,Electronics,301318,1,301318,Pontianak,TF Bank
TRX0176,2024-04-30,Coklat Batangan,Food,76804,2,153608,Jakarta,Dana
TRX0177,2024-06-11,Lip Tint,Beauty,136060,1,136060,Makassar,TF Bank
TRX0178,2024-01-10,Kopi Susu,Food,93283,1,93283,Pontianak,Gopay
TRX0179,2024-02-04,House Wireless,Electronics,143102,5,715510,Makassar,Gopay
TRX0180,2024-02-09,Lip Tint,Beauty,239743,5,1198715,Makassar,ShopeePay
TRX0181,2024-01-09,Basreng,Food,233970,3,701910,Pontianak,COD
TRX0182,2024-01-26,Keripik Pedas,Food,143791,3,431373,Pontianak,Dana
TRX0183,2024-02-18,Serum Vitamin C,Beauty,228739,3,686217,Jakarta,Gopay
TRX0184,2024-01-06,Keyboard Mechanical,Electronics,356437,5,1782185,Jakarta,TF Bank
TRX0185,2024-02-22,Kaos Unisex,Fashion,432603,5,2163015,Jakarta,Dana
TRX0186,2024-03-25,Topi Bucket,Fashion,133220,2,266440,Bandung,Dana
TRX0187,2024-02-03,Earphone Bass,Electronics,470052,2,940104,Medan,TF Bank
TRX0188,2024-02-03,Hoodie Oversize,Fashion,366584,1,366584,Jakarta,TF Bank
TRX0189,2024-02-14,Topi Bucket,Fashion,189749,1,189749,Pontianak,ShopeePay
TRX0190,2024-01-17,Jaket Denim,Fashion,295820,1,295820,Makassar,Gopay
TRX0191,2024-04-25,Lip Tint,Beauty,331251,1,331251,Medan,COD
TRX0192,2024-06-13,USB Hub,Electronics,178141,4,712564,Jakarta,ShopeePay
TRX0193,2024-05-05,Keripik Pedas,Food,243490,1,243490,Makassar,ShopeePay
TRX0194,2024-01-17,Earphone Bass,Electronics,338923,2,677846,Bandung,TF Bank
TRX0195,2024-03-16,Sunscreen,Beauty,333205,5,1666025,Makassar,Dana
TRX0196,2024-06-16,Kopi Susu,Food,435810,1,435810,Medan,COD
TRX0197,2024-04-15,Keripik Pedas,Food,485615,2,971230,Pontianak,Gopay
TRX0198,2024-03-21,Keripik Pedas,Food,402527,1,402527,Makassar,TF Bank
TRX0199,2024-01-18,Moisturizer Gel,Beauty,100026,4,400104,Jakarta,ShopeePay
TRX0200,2024-02-03,Powerbank 10000mAH,Electronics,70627,3,211881,Medan,ShopeePay
TRX0201,2024-06-19,Serum Vitamin C,Beauty,235382,3,706146,Makassar,ShopeePay
TRX0202,2024-01-27,Lip Tint,Beauty,183813,3,551439,Medan,Dana
TRX0203,2024-02-27,Kaos Unisex,Fashion,364318,4,1457272,Jakarta,TF Bank
TRX0204,2024-05-26,Serum Vitamin C,Beauty,419824,3,1259472,Bandung,Gopay
TRX0205,2024-01-08,USB Hub,Electronics,364893,3,1094679,Bandung,TF Bank
TRX0206,2024-02-16,Moisturizer Gel,Beauty,204037,1,204037,Bandung,Dana
TRX0207,2024-01-24,Kopi Susu,Food,94383,1,94383,Medan,COD
TRX0208,2024-02-10,Keripik Pedas,Food,257841,3,773523,Pontianak,TF Bank
TRX0209,2024-01-14,Lip Tint,Beauty,332592,1,332592,Bandung,COD
TRX0210,2024-06-18,House Wireless,Electronics,162660,4,650640,Makassar,Gopay
TRX0211,2024-05-11,Keripik Pedas,Food,163218,2,326436,Jakarta,TF Bank
TRX0212,2024-05-04,Kopi Susu,Food,168502,5,842510,Medan,TF Bank
TRX0213,2024-01-15,Keyboard Mechanical,Electronics,227231,5,1136155,Jakarta,COD
TRX0214,2024-03-06,Facial Wash,Beauty,422312,2,844624,Pontianak,TF Bank
TRX0215,2024-02-14,House Wireless,Electronics,280773,4,1123092,Bandung,Gopay
TRX0216,2024-01-19,Topi Bucket,Fashion,312932,3,938796,Makassar,ShopeePay
TRX0217,2024-03-21,Kopi Susu,Food,261043,1,261043,Medan,Gopay
TRX0218,2024-04-13,Keripik Pedas,Food,171789,1,171789,Jakarta,TF Bank
TRX0219,2024-01-23,Topi Bucket,Fashion,261223,3,783669,Makassar,ShopeePay
TRX0220,2024-05-14,Jaket Denim,Fashion,328738,4,1314952,Jakarta,Gopay
TRX0221,2024-02-13,Moisturizer Gel,Beauty,136167,3,408501,Jakarta,Dana
TRX0222,2024-03-30,USB Hub,Electronics,287361,2,574722,Pontianak,COD
TRX0223,2024-02-20,Hoodie Oversize,Fashion,96778,3,290334,Bandung,Dana
TRX0224,2024-04-28,Hoodie Oversize,Fashion,112875,4,451500,Medan,Dana
TRX0225,2024-03-23,Basreng,Food,357112,5,1785560,Pontianak,COD
TRX0226,2024-06-10,Kopi Susu,Food,265849,4,1063396,Pontianak,TF Bank
TRX0227,2024-03-20,Earphone Bass,Electronics,285990,1,285990,Makassar,Gopay
TRX0228,2024-01-20,House Wireless,Electronics,213324,3,639972,Jakarta,Dana
TRX0229,2024-01-11,Keripik Pedas,Food,324259,5,1621295,Makassar,Dana
TRX0230,2024-05-08,Celana Kargo,Fashion,337197,4,1348788,Bandung,ShopeePay
TRX0231,2024-01-22,Kopi Susu,Food,445180,3,1335540,Medan,COD
TRX0232,2024-04-22,Keyboard Mechanical,Electronics,390997,4,1563988,Medan,Dana
TRX0233,2024-04-09,Celana Kargo,Fashion,215481,3,646443,Makassar,TF Bank
TRX0234,2024-01-25,Earphone Bass,Electronics,54556,3,163668,Medan,Gopay
TRX0235,2024-02-08,Moisturizer Gel,Beauty,399444,5,1997220,Pontianak,ShopeePay
TRX0236,2024-02-03,Celana Kargo,Fashion,182650,4,730600,Medan,ShopeePay
TRX0237,2024-02-02,Lip Tint,Beauty,217488,3,652464,Medan,ShopeePay
TRX0238,2024-04-02,Basreng,Food,209702,1,209702,Pontianak,COD
TRX0239,2024-02-19,Celana Kargo,Fashion,421686,4,1686744,Bandung,COD
TRX0240,2024-05-09,Hoodie Oversize,Fashion,175080,1,175080,Medan,Dana
TRX0241,2024-02-03,Earphone Bass,Electronics,479482,5,2397410,Medan,Gopay
TRX0242,2024-02-12,Kaos Unisex,Fashion,114815,5,574075,Makassar,ShopeePay
TRX0243,2024-04-23,Coklat Batangan,Food,374608,2,749216,Medan,TF Bank
TRX0244,2024-03-20,Mie Instan Premium,Food,299975,2,599950,Makassar,COD
TRX0245,2024-03-13,Lip Tint,Beauty,250999,4,1003996,Makassar,Dana
TRX0246,2024-06-03,Mie Instan Premium,Food,448286,2,896572,Bandung,TF Bank
TRX0247,2024-05-21,Powerbank 10000mAH,Electronics,478289,3,1434867,Jakarta,Dana
TRX0248,2024-03-10,Earphone Bass,Electronics,63974,2,127948,Makassar,Dana
TRX0249,2024-04-25,Jaket Denim,Fashion,68084,2,136168,Pontianak,ShopeePay
TRX0250,2024-04-05,Kopi Susu,Food,227856,5,1139280,Bandung,Gopay
TRX0251,2024-03-22,Earphone Bass,Electronics,137722,1,137722,Jakarta,TF Bank
TRX0252,2024-04-30,Kaos Unisex,Fashion,40081,3,120243,Bandung,Gopay
TRX0253,2024-01-05,Basreng,Food,22753,1,22753,Pontianak,COD
TRX0254,2024-05-15,Topi Bucket,Fashion,401280,5,2006400,Makassar,ShopeePay
TRX0255,2024-01-13,Facial Wash,Beauty,177889,1,177889,Bandung,Gopay
TRX0256,2024-06-01,Kopi Susu,Food,78121,4,312484,Medan,ShopeePay
TRX0257,2024-01-01,Kaos Unisex,Fashion,172710,4,690840,Medan,TF Bank
TRX0258,2024-06-19,Topi Bucket,Fashion,238401,2,476802,Jakarta,Dana
TRX0259,2024-05-09,Serum Vitamin C,Beauty,295806,5,1479030,Medan,Dana
TRX0260,2024-01-12,Powerbank 10000mAH,Electronics,477877,4,1911508,Makassar,TF Bank
TRX0261,2024-03-29,Serum Vitamin C,Beauty,207220,1,207220,Bandung,ShopeePay
TRX0262,2024-05-19,Facial Wash,Beauty,43244,3,129732,Pontianak,COD
TRX0263,2024-02-04,Keripik Pedas,Food,351211,2,702422,Jakarta,Gopay
TRX0264,2024-02-21,Earphone Bass,Electronics,125691,1,125691,Jakarta,TF Bank
TRX0265,2024-05-01,Lip Tint,Beauty,228784,5,1143920,Pontianak,ShopeePay
TRX0266,2024-06-16,Celana Kargo,Fashion,207157,1,207157,Pontianak,TF Bank
TRX0267,2024-04-22,Earphone Bass,Electronics,249088,4,996352,Makassar,TF Bank
TRX0268,2024-04-04,Jaket Denim,Fashion,382843,4,1531372,Medan,TF Bank
TRX0269,2024-06-03,Powerbank 10000mAH,Electronics,61380,4,245520,Bandung,Dana
TRX0270,2024-03-24,Moisturizer Gel,Beauty,73790,1,73790,Pontianak,TF Bank
TRX0271,2024-02-12,Basreng,Food,396262,4,1585048,Makassar,TF Bank
TRX0272,2024-06-06,Kopi Susu,Food,401060,3,1203180,Makassar,TF Bank
TRX0273,2024-04-03,House Wireless,Electronics,371893,4,1487572,Medan,COD
TRX0274,2024-06-22,Keyboard Mechanical,Electronics,464947,5,2324735,Makassar,ShopeePay
TRX0275,2024-04-02,Hoodie Oversize,Fashion,143729,3,431187,Makassar,Dana
TRX0276,2024-04-04,USB Hub,Electronics,100445,4,401780,Pontianak,Gopay
TRX0277,2024-04-03,USB Hub,Electronics,92191,5,460955,Makassar,TF Bank
TRX0278,2024-02-17,Facial Wash,Beauty,79479,1,79479,Makassar,Dana
TRX0279,2024-03-07,Basreng,Food,81740,3,245220,Makassar,COD
TRX0280,2024-02-04,Sunscreen,Beauty,124951,1,124951,Jakarta,Gopay
TRX0281,2024-06-19,Jaket Denim,Fashion,66027,3,198081,Pontianak,ShopeePay
TRX0282,2024-06-28,Moisturizer Gel,Beauty,466358,2,932716,Bandung,TF Bank
TRX0283,2024-03-01,Hoodie Oversize,Fashion,125371,2,250742,Makassar,ShopeePay
TRX0284,2024-04-29,Lip Tint,Beauty,320038,3,960114,Medan,COD
TRX0285,2024-05-02,House Wireless,Electronics,182157,4,728628,Medan,Gopay
TRX0286,2024-03-22,Basreng,Food,58666,2,117332,Jakarta,Gopay
TRX0287,2024-05-21,Basreng,Food,200624,2,401248,Medan,COD
TRX0288,2024-02-01,Jaket Denim,Fashion,283645,1,283645,Medan,COD
TRX0289,2024-02-27,Facial Wash,Beauty,104917,3,314751,Pontianak,Dana
TRX0290,2024-06-11,Serum Vitamin C,Beauty,151389,2,302778,Medan,TF Bank
TRX0291,2024-01-24,Celana Kargo,Fashion,342137,5,1710685,Medan,COD
TRX0292,2024-06-03,Kaos Unisex,Fashion,365365,5,1826825,Pontianak,Dana
TRX0293,2024-06-13,House Wireless,Electronics,62584,1,62584,Medan,TF Bank
TRX0294,2024-06-12,Topi Bucket,Fashion,238411,5,1192055,Jakarta,Gopay
TRX0295,2024-06-24,Moisturizer Gel,Beauty,273202,2,546404,Makassar,TF Bank
TRX0296,2024-02-10,Kopi Susu,Food,381031,1,381031,Makassar,Gopay
TRX0297,2024-06-04,Keripik Pedas,Food,126966,3,380898,Bandung,TF Bank
TRX0298,2024-04-04,Moisturizer Gel,Beauty,229042,2,458084,Medan,Dana
TRX0299,2024-02-01,Earphone Bass,Electronics,146740,4,586960,Pontianak,Gopay
TRX0300,2024-03-15,Kaos Unisex,Fashion,70757,1,70757,Makassar,Dana
TRX0301,2024-03-24,Mie Instan Premium,Food,473670,2,947340,Medan,TF Bank
TRX0302,2024-04-29,Kaos Unisex,Fashion,281234,5,1406170,Makassar,TF Bank
TRX0303,2024-05-09,Kopi Susu,Food,67211,4,268844,Makassar,COD
TRX0304,2024-01-13,Topi Bucket,Fashion,205018,1,205018,Pontianak,Gopay
TRX0305,2024-01-28,Coklat Batangan,Food,301380,1,301380,Makassar,COD
TRX0306,2024-04-03,Moisturizer Gel,Beauty,420480,4,1681920,Jakarta,Gopay
TRX0307,2024-04-02,USB Hub,Electronics,314553,2,629106,Medan,TF Bank
TRX0308,2024-05-20,Powerbank 10000mAH,Electronics,284375,4,1137500,Pontianak,Dana
TRX0309,2024-04-05,Keyboard Mechanical,Electronics,70688,4,282752,Pontianak,Dana
TRX0310,2024-05-10,Facial Wash,Beauty,124363,5,621815,Makassar,Dana
TRX0311,2024-03-26,House Wireless,Electronics,40402,2,80804,Makassar,Dana
TRX0312,2024-02-05,Mie Instan Premium,Food,337855,5,1689275,Pontianak,Dana
TRX0313,2024-03-17,Facial Wash,Beauty,226021,5,1130105,Medan,TF Bank
TRX0314,2024-01-05,Basreng,Food,177176,4,708704,Pontianak,TF Bank
TRX0315,2024-06-25,Powerbank 10000mAH,Electronics,326028,3,978084,Jakarta,Dana
